id_project,id_task,num_totalHours
F4123G8,0414DJE,7.571428571
F4123G8,0414DVE,8.589285714
F4123G8,0414DWE,7.571428571
F4123G8,0414HYE,9.267857143
F4123G8,0414TJE,8.25
F4123G8,0415,38.5
F4123G8,0416,1.5
F4123G8,0417,39.5
F4123G8,0420,13
F4123G8,0422,33.87894737
F4123G8,0422001,23.75263158
F4123G8,0432,2.5
F4123G8,0434,3
F4123G8,0436001,17.5
F4123G8,0442,9
F4123G8,0444,17.8
F4123G8,0445,36
F4123G8,0463,22.8
F4123G8,0470,2.5
F4123G8,0474,30
F4123G8,0477,8.5
F4123G8,0492001,3
F4123G8,0507,10
F4123G8,0509,41.61538462
F4123G8,0509VD,14.61538462
F4123G8,0513,114.4411765
F4123G8,0513BEE,42.39705882
F4123G8,0548,1.1
F4123G8,0548VD,0.7
F4123G8,0572,8.75
F4123G8,0572VD,5
F4123G8,0585,106.125
F4123G8,0585VD,37.25
F4123G8,0623,17.5
F4123G8,0637,18.76923077
F4123G8,0637VD,8.038461538
F4123G8,0909,248.1235955
F4123G8,0909001,161.5617978
F4123G8,0920,137.6221429
F4123G8,0920001,74.705
F4123G8,0924,1.24
F4123G8,0924001,0.92
F4123G8,0929VD,4.5
F4123G8,0953,1.5
F4123G8,0962001,323.7
F4123G8,0962VD,3.5
F4123G8,1022VD,4.5
F4123G8,1071VD,2.5
F4123G8,1087VD,0.5
F4123G8,1105,34.8
F4123G8,1118001,5.5
F4123G8,1121,16.67241379
F4123G8,1121VD,11.5
F4123G8,1127,34.5
F4123G8,1159,24
F4123G8,1261,7.65
F4123G8,1261VD,7.3
F4123G8,1604,19.5
F4123G8,1634,1.375
F4123G8,1634VD,1.75
F4123G8,1643,203.8631579
F4123G8,1643VD,66.97052632
F4123G8,4108,9
F4123G8,557T,193.3970588
F4123G8,557TVD,68.58823529
F4123G8,557TVDS,68.25
F4123G8,969G,1
F4123G8,969M001,81.15
F4123G8,969M002,99.96818182
F4123G8,A010,341.6727273
F4123G8,A010CBMA,125.0545455
F4123G8,A010PC,158.6909091
F4123G8,A037,5.181818182
F4123G8,A037VD,3.727272727
F4123G8,A059,2
F4123G8,A062,26
F4123G8,A111,4
F4123G8,A122,5.95
F4123G8,A122VD,7.7
F4123G8,A125001,5
F4123G8,A160,106.8051948
F4123G8,A160001,142.6587957
F4123G8,A160002,111.716647
F4123G8,A160003,126.9421488
F4123G8,A160VD,5
F4123G8,A179,1
F4123G8,A210,210
F4123G8,AD19,2
F4131G6,0026,0.1
F4131G6,0086,18
F4131G6,0124PSE,2
F4131G6,A010,6
F4131G6,A010PC,4
F4131G6,A014,6
F4131G6,A014VD,10
F4131G6,A122,42
F4131G6,A210,5
F4131G7,0026,0.1
F4131G7,A010,16
F4131G8,0086A3C,3.8
F4154G4,0100AA,1
F4154G5,0100AA,0.3
F4238G10,0100AA,0.3
F4238G10,0404,8.5
F4238G7,0010,3.5
F4238G7,0024,24
F4238G7,0124,4
F4238G7,0124PSE,13
F4238G7,A010PC,1
F4238G9,0404,0.5
F4238G9,1302,114.5
F4238G9,1303,223
F4238G9,1305,22.5
F4259G3,0026,1
F4259G3,0124PSE,6
F4259G3,A010,25
F4259G3,A010PC,6
F4259G3,A210,115
F4265G4,0026,3.5
F4265G4,0026,3.5
F4265G4,0124,4
F4265G4,0124BXEA,6
F4265G4,0124GBE,17
F4265G4,0401001,9
F4265G4,0512,34.4
F4265G4,0566,21.5
F4265G4,0701001,121
F4265G4,0909,28
F4265G4,0924,26
F4265G4,0962,198
F4265G4,0965,183
F4265G4,0982,79
F4265G4,1105001,55
F4265G4,A010,106
F4265G4,A210,1
F4275G6,0017CIE,12.22727273
F4275G6,0017CIEA,8.227272727
F4275G6,0017JQE,15.86363636
F4275G6,0124BCE,17.84615385
F4275G6,0124BPE,15.07692308
F4275G6,0124DIE,12.30769231
F4275G6,0124GHE,12.30769231
F4275G6,0124KAE,11.61538462
F4275G6,0401,12
F4275G6,0401,12
F4275G6,0404,34.5
F4275G6,0409001,2.5
F4275G6,0414,9
F4275G6,0417,33
F4275G6,0442,37
F4275G6,0445,3
F4275G6,0548VD,9
F4275G6,0548VDS,1.5
F4275G6,0802,52.5
F4275G6,0805,147.5
F4275G6,0811,21.5
F4275G6,0812,36
F4275G6,0909,75.6
F4275G6,0953,74
F4275G6,1022,2
F4275G6,1022VD,1.5
F4275G6,1022VDS,1.5
F4275G6,1301,186.5
F4275G6,1604,118
F4275G6,235A001,9
F4275G6,557TVDS,1
F4275G6,969M,70.7
F4275G6,A010PC,10
F4275G6,A210,1
F4275G7,0017AQE,9.807692308
F4275G7,0017BTE,9.807692308
F4275G7,0017CEE,10.25384615
F4275G7,0017CEE,10.25384615
F4275G7,0017CIE,17.86923077
